iter	RMSE
0	107.8461184
1	105.1873891
2	102.7115246
3	100.5571895
4	98.35566678
5	96.19848492
6	93.89969283
7	92.00087925
8	89.95759818
9	88.33230188
10	86.68083349
11	85.05610164
12	83.68991637
13	82.26410358
14	80.91241114
15	79.59839979
16	78.35613673
17	77.11986313
18	76.07994429
19	75.03759188
20	73.92499127
21	72.92906928
22	71.86112664
23	71.0033654
24	69.93251736
25	69.12029362
26	68.32366021
27	67.39840313
28	66.74502143
29	66.11333599
30	65.51477707
31	64.90651524
32	64.19706698
33	63.63647946
34	63.22822896
35	62.67949567
36	62.16380421
37	61.63588794
38	61.21047753
39	60.687759
40	60.13826003
41	59.67669446
42	59.37712158
43	58.93780292
44	58.63778515
45	58.17961323
46	57.8954165
47	57.4611089
48	57.1479844
49	56.69996058
50	56.48445478
51	56.13762354
52	55.70763665
53	55.36866474
54	55.02049286
55	54.56635223
56	54.25588557
57	53.92251098
58	53.73114776
59	53.54387633
60	53.40614548
61	53.10804602
62	52.80699923
63	52.50985394
64	52.42713919
65	52.18579886
66	51.88931792
67	51.69156505
68	51.4799173
69	51.33012427
70	51.02229962
71	50.79726922
72	50.67460414
73	50.3763825
74	50.10744891
75	49.90426826
76	49.82345321
77	49.55726551
78	49.41143084
79	49.26093852
80	49.16705364
81	48.96685473
82	48.79761764
83	48.68119638
84	48.497959
85	48.29941888
86	48.20443734
87	48.03618974
88	47.85266447
89	47.65507363
90	47.55004052
91	47.43448826
92	47.2579925
93	47.1730533
94	47.07485232
95	46.85931746
96	46.6976436
97	46.51657045
98	46.42023163
99	46.28495613
100	46.14991326
101	46.08213455
102	45.81830486
103	45.76405788
104	45.6711851
105	45.54373165
106	45.35402206
107	45.27705079
108	45.14751548
109	45.04716329
110	44.8454879
111	44.68788131
112	44.5563195
113	44.49506508
114	44.33895534
115	44.13675663
116	44.02519598
117	43.67571141
118	43.4389575
119	43.19675308
120	43.09838937
121	42.94573085
122	42.86959938
123	42.64842107
124	42.64060574
125	42.56948432
126	42.51606529
127	42.39400362
128	42.14844727
129	42.07989969
130	41.91808112
131	41.74051726
132	41.67014836
133	41.63278404
134	41.54458786
135	41.41605825
136	41.30846557
137	41.17213494
138	40.9807454
139	40.8627874
140	40.73402652
141	40.56629531
142	40.46721429
143	40.31687667
144	40.26665603
145	40.23666759
146	40.16669929
147	39.98137686
148	39.85876966
149	39.66590347
150	39.5051921
151	39.40351627
152	39.34465537
153	39.2104452
154	39.13961043
155	39.02945607
156	38.95276486
157	38.84540739
158	38.77020603
159	38.71308369
160	38.61388813
161	38.57361962
162	38.41501793
163	38.33802203
164	38.20254844
165	38.13384195
166	37.94912482
167	37.87806413
168	37.79325375
169	37.68163219
170	37.6172793
171	37.48313465
172	37.36289382
173	37.26426866
174	37.20909091
175	37.13769194
176	36.99893008
177	36.86603663
178	36.76240843
179	36.72683665
180	36.56973781
181	36.48388036
182	36.40342314
183	36.29666435
184	36.09490007
185	36.00371803
186	35.88112169
187	35.82561147
188	35.7592481
189	35.71331477
190	35.55905566
191	35.43744622
192	35.37002593
193	35.21861835
194	35.11718062
195	34.93263613
196	34.83319136
197	34.72363768
198	34.63304413
199	34.54575723
200	34.42892911
201	34.36969347
202	34.22360791
203	34.14728013
204	34.01785972
205	33.93968473
206	33.85353473
207	33.72282917
208	33.64623411
209	33.55801447
210	33.50712525
211	33.46144591
212	33.38848715
213	33.2965046
214	33.14257925
215	33.07635226
216	32.99571676
217	32.83387453
218	32.78222569
219	32.73442177
220	32.66018071
221	32.61945831
222	32.54522096
223	32.4704772
224	32.35806067
225	32.30865753
226	32.23860348
227	32.1569694
228	32.08194358
229	32.01206264
230	31.8924015
231	31.80172233
232	31.69417724
233	31.62678683
234	31.58772733
