iter	Passed	Remaining
443	1253	1569
444	1256	1567
445	1261	1566
446	1266	1566
447	1269	1563
448	1271	1560
449	1274	1557
450	1277	1555
451	1282	1554
452	1284	1551
453	1287	1548
454	1289	1545
455	1292	1541
456	1295	1538
457	1298	1536
458	1301	1534
459	1304	1531
460	1307	1528
461	1310	1526
462	1314	1524
463	1316	1520
464	1319	1517
465	1321	1514
466	1325	1512
467	1328	1509
468	1331	1507
469	1333	1503
470	1336	1500
471	1339	1498
472	1343	1496
473	1346	1494
474	1349	1492
475	1352	1488
476	1357	1487
477	1359	1485
478	1362	1481
479	1365	1479
480	1368	1476
481	1372	1474
482	1375	1472
483	1378	1469
484	1381	1466
485	1385	1465
486	1389	1463
487	1391	1460
488	1394	1457
489	1397	1454
490	1403	1454
491	1406	1451
492	1409	1449
493	1412	1446
494	1416	1444
495	1419	1442
496	1423	1440
497	1427	1438
498	1432	1437
499	1436	1436
500	1438	1432
501	1442	1431
502	1448	1431
503	1451	1428
504	1454	1425
505	1458	1423
506	1463	1422
507	1466	1419
508	1468	1416
509	1471	1413
510	1474	1410
511	1477	1408
512	1480	1405
513	1483	1402
514	1486	1400
515	1489	1397
516	1493	1395
517	1496	1392
518	1499	1389
519	1501	1386
520	1504	1383
521	1507	1380
522	1511	1378
523	1513	1374
524	1516	1371
525	1518	1368
526	1522	1366
527	1525	1364
528	1529	1361
529	1532	1358
530	1534	1355
531	1538	1353
532	1540	1349
533	1543	1347
534	1546	1343
535	1549	1340
536	1554	1340
537	1558	1338
538	1562	1336
539	1565	1333
540	1569	1331
541	1572	1328
542	1575	1326
543	1578	1323
544	1581	1320
545	1585	1318
546	1588	1315
547	1591	1312
548	1594	1310
549	1597	1306
550	1600	1304
551	1603	1301
552	1605	1297
553	1607	1294
554	1610	1290
555	1612	1287
556	1616	1285
557	1618	1281
558	1621	1279
559	1626	1278
560	1631	1276
561	1635	1274
562	1637	1271
563	1640	1268
564	1642	1264
565	1645	1261
566	1648	1258
567	1650	1255
568	1653	1252
569	1656	1249
570	1658	1246
571	1661	1243
572	1664	1240
573	1667	1237
574	1669	1233
575	1671	1230
576	1673	1227
577	1676	1223
578	1678	1220
579	1680	1217
580	1683	1213
581	1685	1210
582	1688	1207
583	1690	1204
584	1693	1201
585	1696	1198
586	1699	1195
587	1701	1192
588	1703	1188
589	1705	1185
590	1707	1181
591	1709	1178
592	1711	1174
593	1713	1171
594	1715	1167
595	1718	1164
596	1720	1161
597	1722	1158
598	1724	1154
599	1726	1151
600	1728	1147
601	1730	1144
602	1732	1140
603	1734	1137
604	1737	1134
605	1739	1130
606	1741	1127
607	1743	1123
608	1745	1120
609	1748	1117
610	1750	1114
611	1753	1111
612	1755	1108
613	1757	1104
614	1759	1101
615	1761	1098
616	1763	1094
617	1765	1091
618	1768	1088
619	1770	1084
620	1772	1081
621	1774	1078
622	1775	1074
623	1778	1071
624	1780	1068
625	1782	1064
626	1784	1061
627	1786	1058
628	1788	1054
629	1790	1051
630	1792	1048
631	1794	1044
632	1796	1041
633	1798	1038
634	1800	1035
635	1802	1031
636	1804	1028
637	1807	1025
638	1809	1022
639	1811	1018
640	1813	1015
641	1815	1012
642	1817	1008
643	1819	1005
644	1821	1002
645	1823	999
646	1825	995
647	1827	992
648	1829	989
649	1831	986
650	1833	982
651	1835	979
652	1837	976
653	1839	973
654	1841	969
655	1843	966
656	1845	963
657	1847	960
658	1849	956
659	1851	953
660	1853	950
661	1855	947
662	1857	944
663	1859	941
664	1861	937
665	1863	934
666	1865	931
667	1867	928
668	1869	925
669	1871	921
670	1873	918
671	1875	915
672	1878	912
673	1880	909
674	1882	906
675	1884	903
676	1886	899
677	1888	896
678	1890	893
679	1892	890
680	1894	887
681	1896	884
682	1898	881
683	1900	878
684	1902	875
685	1904	871
686	1906	868
687	1909	865
688	1911	862
689	1913	859
690	1916	856
691	1918	853
692	1920	850
693	1922	847
694	1924	844
695	1926	841
696	1929	838
