iter	RMSE
0	109.8897851
1	109.6542298
2	109.3537935
3	109.1557588
4	108.9024367
5	108.6614734
6	108.4134577
7	108.2281548
8	108.024155
9	107.8825374
10	107.6615246
11	107.5592657
12	107.4446912
13	107.1885106
14	107.0102904
15	106.8019475
16	106.5891882
17	106.4248337
18	106.1855023
19	106.0505919
20	105.8523419
21	105.6761012
22	105.5728001
23	105.4530321
24	105.3207569
25	105.1359614
26	105.0104254
27	104.8272704
28	104.6861988
29	104.585897
30	104.3622464
31	104.260944
32	104.1091045
33	103.9417933
34	103.8028635
35	103.5948571
36	103.4512716
37	103.2444395
38	102.9888366
39	102.8281229
40	102.6771662
41	102.5199269
42	102.3520021
43	102.2018797
44	101.9304596
45	101.7427808
46	101.6647736
47	101.4739183
48	101.289134
49	101.1125777
50	100.9943192
51	100.8097749
52	100.702338
53	100.5103622
54	100.3876286
55	100.1804515
56	100.0587661
57	99.92214114
58	99.80186319
59	99.67456689
60	99.45564872
61	99.28177229
62	99.12725773
63	98.98909499
64	98.8510964
65	98.68364418
66	98.57681491
67	98.40516452
68	98.27681547
69	98.12197828
70	98.00237994
71	97.88817952
72	97.71393067
73	97.71269011
74	97.6216937
75	97.50328304
76	97.38356134
77	97.2254663
78	97.0879781
79	96.93978133
80	96.83984582
81	96.67463482
82	96.56183807
83	96.39257649
84	96.31328302
85	96.22718725
86	96.10164711
87	95.976152
88	95.82317057
89	95.69419068
90	95.52687997
91	95.39049768
92	95.3029401
93	95.11243106
94	94.87231874
95	94.71184865
96	94.59328023
97	94.38001488
98	94.29574267
99	94.09477525
100	93.96772445
101	93.84927714
102	93.73232179
103	93.60605153
104	93.51575467
105	93.41317897
106	93.22861056
107	93.11445197
108	92.96121867
109	92.75296975
110	92.61923507
111	92.47121244
112	92.34486793
113	92.19494776
114	92.03335038
115	91.88112176
116	91.75322274
117	91.60313618
118	91.40725365
119	91.27727541
120	91.08772838
121	90.89860376
122	90.74572474
123	90.49579203
124	90.39189434
125	90.28182529
126	90.19540965
